SHA15
83e700	775500
SHA17
bece0000	851c8000
fe470000	1c770000
29d80000	74488000
cc420000	b9630000
f35d8000	d9b00000
d76d0000	b31b8000
61f70000	8bf30000
ce260000	b6928000
54518000	d7b98000
9a170000	cad48000
42180000	78f80000
c7748000	a63c8000
d8540000	da5c8000
69cb0000	82440000
88270000	d2708000
e8c88000	e3600000
6a9a8000	319c0000
32bd8000	13470000
94dc8000	8b428000
39ac8000	560b0000
3b1b8000	b1d28000
bad10000	812d8000
1bc70000	f9ca0000
b2070000	4d710000
47360000	884e0000
8e040000	bbee8000
c1c58000	81ca8000
b68d0000	48f00000
04c40000	ff948000
84080000	2ecc8000
fa738000	c08a8000
6f880000	e46a0000
b8788000	646c8000
79e98000	c4810000
a1238000	5e618000
e6608000	d0eb0000
f2300000	ccac8000
0e4d0000	893d0000
a59c8000	46048000
c9a40000	a5978000
41320000	441f0000
60500000	85218000
c79e8000	6f520000
86c60000	16b08000
d3ec8000	29bf0000
3b200000	2df70000
d1718000	bcf58000
0dc88000	5ada8000
28ca0000	bd8e8000
1e5b8000	b9398000
198a0000	a0838000
2f9f0000	54310000
9f978000	2df70000
bcad0000	33388000
16ef0000	975f0000
44490000	d63e0000
1a390000	1e0e8000
6dc40000	2da00000
39bf8000	bbee8000
11f70000	c2bb0000
f2b90000	97418000
9bff0000	e4518000
54a78000	6c800000
50218000	db3f0000
e6568000	75f28000
0ba98000	98d58000
9e658000	77c20000
59a80000	36cd0000
99878000	f83a8000
4bf40000	2b040000
0a9c8000	10678000
370e0000	cfab8000
e68f0000	07ae8000
15b50000	86998000
1fcb0000	75bd8000
34d78000	ba578000
f6840000	ce3f0000
42d60000	209c0000
73dc8000	2c3f8000
671d8000	b8938000
a08c8a2759f2bdb7ad495ca434fe5a1a787bc524c0d78855992a1eb65f2030948872b41ecef6ce838906f06a669a49531e49a68226e68682b2b19ff877176b34c1256c7a8ffabad7423cfad6a2f31183d53508de3c4f6aee2068d134dc106d63	1ebe76140d29242eaa2627a9fe5564efc70875be89f13a64201032b6a7d63b61e024b5db13c89fed77
a6ce8000	46888000
6f530000	7c630000
a3f20000	91cd0000
58c90000	3d250000
dd558000	b0440000
0fb00000	f0870000
a3be2e437411391f9612b4334d0fe1f11b0a0c4523e2a41899c14e9f2671e0d53e5dcd23017e8aa40c5ee6de995d95074f608ab3adfc0c32ec346acb5d7dce0bca72	1adf11daf3604e5cf24efc0a417b12842989cf06356b723eaefa296f72c8cdb25be3599672d3e328
59708000	7a350000
2f788000	c31a8000
3db9368ef6f3a35dedf680e93c5c417310d32889c35327dade46c81e0102cbe42b754f1605570d7e84dc6d6da9740d16013e7f7bb609e0726ee7	a446b0d04b68dac01f6112e68c6aba95f470dfefba0645977bede636c7fd9e
06678000	e9750000
21660000	31c20000
06720000	af5b0000
a5978000	e7360000
f19d0000	47058000
0a760000	e4350000
2cef8000	bcd80000
0ffb0000	7f640000
34c18000	ac920000
SHA18
86990000	30160000
4fb5c000	c8a9c000
41e88000	74304000
f3368000	5ac74000
07614000	3d0c0000
3c3dc000	e4070000
d26e4000	8c6fc000
dbf94000	8bda4000
7f640000	4edfc000
2ec54000	68cbc000
f29dc000	22620000
09370000	8c810000
ee5d4000	b4560000
009f8000	94fbc000
9894c000	35044000
cd388000	ec7a8000
b0bc8000	904ec000
a0f04000	98b5c000
fa3c8000	bd22c000
d19b0000	ac640000
e9fe0000	ff558000
1e9fc000	81e28000
ce294000	8fef0000
87f48000	075a8000
8fc78000	54a4c000
338b8000	05f38000
8c838000	350c8000
280e4000	d5528000
b9b8c000	284e8000
0f578000	e8920000
488c8000	20244000
62260000	f29ac000
0df24000	065b4000
ee31c000	9e2d8000
2e528000	207d0000
5f660000	76330000
ef77c000	fb064000
890ec000	6feac000
3a130000	c2a18000
ff784000	89d14000
2da14000	802d4000
6dbd0000	27038000
904ec000	48a94000
1d034000	7d60c000
480a4000	d10d8000
af1c331320fbbbf1f754aade82baf685630e5e9f3b42556e0c3658016206955b91bacc741bcbdfb2f1fdc02f81122e9b13f25b367692778487cb9d9d42712822978a157e4b875433399c39cb4658ae	b81b596e01482eec462f766aa41c61aad2cf647d943f2a415730a616e54d98ebe915438f0df5ae6d05a2aee0e826280ec9657850cfbd1328931a2818032af16fab36ff6d59f11818f28cc266d4b1
81e48000	1e1dc000
050f4000	59130000
7d02c000	15c34000
211cc000	fcb18000
cbaf4000	f8398000
5fe18000	292f0000
4806c000	6b20c000
77004000	91c0c000
1595c000	313c8000
c7a0c000	49d68000
3ff38000	d3e30000
fe584000	531ec000
e8d346306fbf16ff815c3311b9ce7091ad6f4de24781ed296282a045942f285928405509f1effffdd207174e97571f24fe896b450fada198f3347571c6cf23aff4f0c5c00c740d28c40a72f9da7497	6ba2b95429bf4429590bb3dd082bfd703b9b2275fdc7a77e51d7c85cb63bfa062b9850b9a1f542fecba69d0579e2862640df8f36e1f2c4ed4f531762decfdf973749ae64c031d5ffbbe0fb7f4c
9bc80000	b6684000
7c798eeeb6e083b10f822ebf15654f3c5eb1055e976581150d893af6135e5e2938ab3ccebd37fea7516f53e86abc7b88311932bee5	77f222e93bca21732fd1a0a32ba3d11267d2124201fa8b6afa69ebadf66070e8c39c8e65d65d9d927b1e4797ed035b7dd06b52bb93000f5802f4a28973d313a30acf661b6fd71d9d0c
57570000	fb16c000
ae558000	c7770000
40a80000	5e560000
01ed8000	66280000
c7494000	cebf4000
b3608000	ba7a8000
a3188000	cabf0000
5fe9c000	c35c4000
2be4c000	92d24000
95cc0000	48dd4000
d4bac000	a473c000
fbba0000	40804000
f108c000	bc9c0000
16f9c000	f90c4000
9cda4000	d1dd4000
76bc0000	0ef04000
0f578000	d35c0000
594fc000	cf22c000
739a8000	4f300000
27db8000	71b94000
88d74000	9d438000
6764c000	174e8000
e686c000	831bc000
205ec000	95570000
aa854000	b9474000
0ec44000	e7e8c000
012a8000	1307c000
f88c8000	8d418000
10be8000	0e200000
c7840000	86a3c000
d36cc000	3f1c8000
3cfb0000	96bc4000
9cfcc000	0a568000
85df4000	3a8c8000
e12b8000	ecc8c000
5badc000	88268000
284f0000	6f4a0000
f6168000	e1548000
628bc000	53d10000
SHA19
215da000	7fb18000
143ba000	5b574000
81126000	4fbf6000
2a770000	2ed56000
2d9c6000	62908000
2f528000	610f8000
3efea000	01eb0000
1f902000	bbd48000
d9b06000	6f748000
a31d2000	1b314000
8a7b6000	111d4000
1350e000	ee5f0000
da766000	08794000
7cf34000	e4a64000
68d48000	6996e000
246b6000	38708000
1fb3c000	e7426000
57ab2000	d8ef8000
350a0000	57344000
99e90000	f8af0000
04bf2000	1b19a000
e41a2000	ff110000
30bf2000	bbeb0000
59c28000	9516e000
e125c000	9acdc000
b1a0a000	78954000
8eb14000	dbc84000
c091a000	cf736000
14bae000	09f76000
0a52c000	ad578000
c3aac000	7f4f0000
6fff6000	b2fb0000
40f38000	6fcac000
6611a000	d15b4000
e7baa000	db6be000
828a2000	01c06000
cc372000	0aace000
e1e9c000	dba7e000
7a19e000	3d21a000
858de000	2be90000
e9250000	f16de000
da05c000	20402000
31cb8000	6bea0000
88d22000	959dc000
95082000	fc3da000
80ff2000	f0de8000
e654e000	47d3e000
d2e48000	7732c000
73330000	f2956000
c62ac000	08ea4000
ce1d2000	9e9d0000
aea64000	fa358000
2d444000	aad9a000
72dc8000	c2aa6000
be088000	a313c000
b2794000	598da000
86bfa000	a72e8000
14136000	9d98e000
e1680000	54cf0000
e0e0c000	53370000
e7ba8000	fa83c000
53d0a000	80e48000
b7b88000	ff84c000
abf88000	865d2000
9c444000	0551c000
ff21a000	2d662000
59f92000	50b3e000
c4cc6000	31b66000
ca7e4000	58950000
e05fe000	77ba6000
873cc000	4c38c000
417a8bdd86e93da6915e88e6c57d54d1be1d91860bfaa77af1f61afc9fc5578d211e6b4a480ac8795e3f95811dafce2bcf05e570247673a57fd6adc99fd900650fe47f97648993148d5355a6afd0b2aebb0f8d6d9bda4906	794abfd66550d9b31e40b51d48a29c4ed380d1dceda0757b4cb014a8fed23fe4d8ec43646318f141ce1172b16562563028521a9a44b83897e7729bf78b5f541f4ef4cdc697683147892b9010f720fa8bedf669731cd91738
f81e6000	b2562000
c0f50000	1bf22000
103b0000	d7010000
98a38000	fcdfe000
b7444000	deec4000
6fd8c000	6d37e000
ce0fc000	7048e000
93ad6000	dc64c000
4290c000	ffed6000
aa040000	1889a000
b8cae000	4bf38000
87d20000	304dc000
4504a000	b2286000
68fa2000	b2e34000
d8462000	086a6000
02956000	d2312000
c6f88000	690d8000
0f1de000	01c06000
999e8000	908b0000
60caa000	4a574000
2a17c000	5d354000
1bee4000	528ac000
4495a000	40916000
81006000	097b0000
fc71a000	fb982000
08958000	7cbee000
f38b8000	399e8000
3ccf2000	e7a54000
SHA20
46d7d000	55d16000
1b7d3000	48278000
713b8000	621e3000
f10c0000	0b376000
b0d0d000	23557000
4f544000	5c11c000
fa8a2000	c58dc000
0464a000	607c4000
a0ee7000	090ca000
801be000	d2bcb000
352e6000	3a805000
598c3000	13f70000
88e83000	c970a000
83a1e000	cac84000
62be1000	1db01000
05788000	9ecc4000
d7403000	07aff000
669c8000	f9202000
32c74000	5abb8000
8225c000	034e0000
ed48c000	ba4b5000
ef504000	4f331000
aca5f000	16748000
54f8c000	b4bd1000
f8b91000	84b03000
a09bd000	628be000
19da6000	339ba000
a8f6d000	4d27d000
0eb4e000	2eb5c000
4a1ae000	ac3f5000
48e9d000	82b0e000
bbd01000	e7269000
0375e000	7aa64000
e6a4d000	5c0ef000
42168000	c2592000
3562c000	4c72c000
bae43000	7838a000
205e3000	53383000
04348000	91b6f000
90f53000	963f4000
64c67000	ea6a9000
abb66000	d30f1000
a77a3000	f99d9000
dc6e7000	77410000
90ef7000	a8ac0000
56eff000	957dd000
de415b03f860a23983c70c676e14c69f349f54dba85b289ac15127	103e643b28bc653f792c5e717f8b28eeb9d5960209d1751755faaab07e9b3066b271628180640c3978d0dba0f3b8031219f9b10622606fbb
a7e0f000	26ded000
7a70a000	555e4000
fdd94000	25dd5000
84421000	6f2a3000
55cc6000	29d37000
d45ba000	875f7000
11722000	55b7c000
04139000	2dbff000
d38f8000	3dd5d000
4f971000	424f7000
32c85000	6d097000
c39ad000	8995c000
b9b20000	0e259000
83466000	1e882000
e93ee000	aab83000
cd165000	e45c6000
4b733000	f18e0000
bf70f000	4753b000
6b2be000	ddfcd000
8160f000	88431000
35c1a000	0907b000
7404b000	8862f000
770d7000	26ffb000
d9a95000	460be000
